ю╖д║,цЬа╓юо╫ц,цЬа╓аж╠Б,фР╠у╟╙,цж╪р╟╙,цж╢К╟╙
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 10:00,H,100148,100130,100160
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 11:00,H,100100,100080,100120
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 12:00,H,100057,100030,100090
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 13:00,H,99988,99950,100020
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 14:00,H,99927,99900,99950
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 15:00,H,99858,99850,99880
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 16:00,H,99848,99840,99850
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 17:00,H,99840,99840,99840
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 18:00,H,99845,99830,99870
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 19:00,H,99877,99860,99900
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 20:00,H,99928,99920,99940
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 21:00,H,99928,99920,99940
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 22:00,H,99932,99920,99940
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 23:00,H,99953,99950,99960
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-06 00:00,H,99945,99940,99950
